r,theta,z,Energy,Detection Efficiency
60.0,0.0,82.0,1400,0.0100050588235294
60.0,0.0,82.0,1600,0.0092361764705882
60.0,0.0,82.0,1800,0.0081632222222222
60.0,0.0,82.0,2000,0.0073781764705882
60.0,0.0,82.0,2200,0.007033294117647
60.0,0.0,82.0,2400,0.006389
60.0,0.0,112.0,20,0.0006867777777777
60.0,0.0,112.0,30,0.0046668823529411
60.0,0.0,112.0,50,0.0211348823529411
60.0,0.0,112.0,80,0.032389
60.0,0.0,112.0,100,0.0337387058823529
60.0,0.0,112.0,200,0.0272882352941176
60.0,0.0,112.0,300,0.0200161666666666
60.0,0.0,112.0,500,0.0130917058823529
60.0,0.0,112.0,800,0.009160294117647
60.0,0.0,112.0,1000,0.0077838823529411
60.0,0.0,112.0,1200,0.0066718333333333
60.0,0.0,112.0,1400,0.0060238235294117
60.0,0.0,112.0,1600,0.0055247058823529
60.0,0.0,112.0,1800,0.005085
60.0,0.0,112.0,2000,0.0044863529411764
60.0,0.0,112.0,2200,0.004178294117647
60.0,0.0,112.0,2400,0.0039764444444444
60.0,0.0,142.0,20,0.0005938888888888
60.0,0.0,142.0,30,0.0033846470588235
60.0,0.0,142.0,50,0.0133409411764705
60.0,0.0,142.0,80,0.02016975
60.0,0.0,142.0,100,0.0208579411764705
60.0,0.0,142.0,200,0.0171222352941176
60.0,0.0,142.0,300,0.0124625
60.0,0.0,142.0,500,0.0081453529411764
60.0,0.0,142.0,800,0.0057165294117647
60.0,0.0,142.0,1000,0.0048015882352941
60.0,0.0,142.0,1200,0.0041469444444444
60.0,0.0,142.0,1400,0.0037787058823529
60.0,0.0,142.0,1600,0.0033945882352941
60.0,0.0,142.0,1800,0.0029909444444444
60.0,0.0,142.0,2000,0.0027711176470588
60.0,0.0,142.0,2200,0.0025876470588235
60.0,0.0,142.0,2400,0.0023968888888888
60.0,0.0,172.0,20,0.0004831111111111
60.0,0.0,172.0,30,0.0023012222222222
60.0,0.0,172.0,50,0.0087014117647058
60.0,0.0,172.0,80,0.01297725
60.0,0.0,172.0,100,0.0137045
60.0,0.0,172.0,200,0.0110171176470588
60.0,0.0,172.0,300,0.0082321111111111
60.0,0.0,172.0,500,0.005257
60.0,0.0,172.0,800,0.0037536470588235
60.0,0.0,172.0,1000,0.003128294117647
60.0,0.0,172.0,1200,0.0026667777777777
60.0,0.0,172.0,1400,0.0023868823529411
60.0,0.0,172.0,1600,0.0022915294117647
60.0,0.0,172.0,1800,0.0019847777777777
