Energy,Detection Efficiency
20,0.0008262222222222222
30,0.004452777777777778
50,0.017496941176470587
80,0.026684
100,0.02806425
200,0.02261070588235294
300,0.016699944444444444
500,0.010901764705882354
800,0.007505588235294118
1000,0.006203625
1200,0.0054317777777777776
1400,0.0048416470588235295
1600,0.004313705882352942
1800,0.0038831666666666667
2000,0.0037859411764705883
2200,0.0032962352941176467
2400,0.0030178888888888885
